episode,env_return,total_return
637,7.0,52.67938240680889
638,7.0,58.81564518814521
639,7.0,56.10232764139888
640,7.0,54.478965568745004
641,7.0,55.27654690897337
642,7.0,52.770717738144285
643,7.0,57.8860393772894
644,7.0,45.819861810046525
645,7.0,52.30436863961634
646,7.0,52.89072849879738
647,7.0,54.40103521478518
648,7.0,55.44031302031301
649,7.0,49.60946794775423
650,7.0,55.50036184403831
651,7.0,55.14010136277551
652,7.0,52.617170158273105
653,7.0,50.64580044955049
654,7.0,56.104582623259084
655,7.0,49.99741812109461
656,7.0,53.61947552447554
657,7.0,55.29401066425831
658,7.0,56.707415917415936
659,7.0,53.75221903096904
660,7.0,58.510725230651694
661,7.0,58.68849150849155
662,7.0,57.74246557364204
663,7.0,60.26075674325673
664,7.0,57.245430200604375
665,7.0,50.37197633726481
666,7.0,46.67857476585871
667,7.0,53.63612426144548
668,7.0,49.18769022644025
669,7.0,48.034926984779965
670,7.0,54.894025526846754
671,7.0,60.228826173826164
672,7.0,53.72094821844827
673,7.0,55.933807858807874
674,7.0,51.58627961434854
675,7.0,52.54157390339283
676,7.0,52.473140407064555
677,7.0,54.69802569334695
678,7.0,53.95055923823335
679,7.0,54.42189828489364
680,7.0,53.505799708547436
681,7.0,45.13630272204579
682,7.0,46.68581927231695
683,7.0,52.138964491390965
684,7.0,53.5898684648685
685,7.0,54.48525076143182
686,7.0,57.265593573093575
687,7.0,54.21052738927744
688,7.0,52.10931283113172
689,7.0,50.236082434077794
690,7.0,51.91210910993037
691,7.0,56.05602397602401
692,7.0,53.39009054026473
693,7.0,52.06980665969585
694,7.0,51.846879737838975
695,7.0,55.056028138528205
696,7.0,54.69616309516077
697,7.0,52.4399681626422
698,7.0,49.6319891808398
699,7.0,49.7690548177313
700,7.0,46.956478319152474
701,7.0,49.59616728859374
702,7.0,55.48785089910092
703,7.0,54.276716616716676
704,7.0,54.02156759906761
705,7.0,49.24092039023929
706,7.0,54.78929249671901
707,7.0,56.30180438369678
708,7.0,50.83992335663848
709,7.0,50.1379951665981
710,7.0,57.57037379287377
711,7.0,48.768274642024664
712,7.0,47.6339194873754
713,7.0,56.79160794442913
714,7.0,52.6219161230926
715,7.0,53.447797588118746
716,7.0,53.11370430395199
717,7.0,45.041602754631306
718,7.0,56.93730329654861
719,7.0,44.8341617408033
720,7.0,50.4728889003154
721,7.0,52.110745981314885
722,7.0,48.36896913071449
723,7.0,51.85895027701917
724,7.0,51.874833744686704
725,7.0,50.1704091208742
726,7.0,47.191893741001245
727,7.0,54.802057201054865
728,7.0,54.36252617480559
729,7.0,51.26865818733921
730,7.0,50.572137862137964
731,7.0,50.03402588123952
732,7.0,50.59365027858131
733,7.0,52.412292088716256
734,7.0,51.35989010989025
735,7.0,48.88456424638318
736,7.0,53.77390823572709
737,7.0,52.07682954300605
738,7.0,49.689194177406904
739,7.0,44.34460531863927
740,7.0,51.115131363734314
741,7.0,56.63534881784883
742,7.0,49.609589544905745
743,7.0,50.294403219329716
744,7.0,50.22456751581754
745,7.0,51.01807451707217
746,7.0,48.15182425417723
747,7.0,49.12177177569588
748,7.0,46.96243442831679
749,7.0,51.61307954300605
750,7.0,53.0653381177646
751,7.0,53.030262482615434
752,7.0,53.04833678576335
753,7.0,55.295020259735224
754,7.0,49.016543853463375
755,7.0,48.48640405086683
756,7.0,51.54252057926589
757,7.0,50.8934768598275
758,7.0,49.59688714645206
759,7.0,48.85241378719324
760,7.0,52.997167954594445
761,7.0,46.98441178919122
762,7.0,52.6172353871619
763,7.0,49.45424995927705
764,7.0,54.00318443811094
765,7.0,49.26580901941199
766,7.0,50.36434949209717
767,7.0,48.86451010290021
768,7.0,48.266339138158045
769,7.0,54.13853171338464
770,7.0,50.87095256394788
771,7.0,51.748904642828805
772,7.0,45.03144395298249
773,7.0,54.85525237017885
774,7.0,49.597054891770014
775,7.0,54.01395922281907
776,7.0,48.31839704928714
777,7.0,50.495721747293004
778,7.0,46.94279658422071
779,7.0,53.26232556014676
780,7.0,52.87110420152603
781,7.0,48.58851833577202
782,7.0,50.2243249152808
783,7.0,51.86767625260729
784,7.0,54.00165971283625
785,7.0,50.84346565199509
786,7.0,45.737951239555436
787,7.0,43.59035325359133
788,7.0,48.37578567845984
789,7.0,48.33123593898362
790,7.0,51.56457383302972
791,7.0,50.21841087833732
792,7.0,51.74499179741832
793,7.0,49.80759940395001
794,7.0,50.635482354332986
795,7.0,56.45010323010331
796,7.0,52.94287564087102
797,7.0,47.91877051740834
798,7.0,44.75274679442914
799,7.0,46.77104153593082
